07/31 11:21:48 PM | Logger is set 
08/01 12:13:01 PM | Valid: [ 3/200] Step 020/023 Loss 28.132 Prec@(1,5) (15.3%, 37.4%)
08/01 12:13:08 PM | Valid: [ 3/200] Final Prec@1 14.9457%, Prec@5 36.2772%, Prec@10 49.4565%
08/01 12:13:08 PM | Final best Prec@1 = 14.9457%
08/01 12:15:38 PM | Train: [ 4/200] Step 010/380 Loss 25.105 Prec@(1,5) (25.0%, 51.6%)
08/01 12:15:45 PM | Train: [ 4/200] Step 020/380 Loss 25.596 Prec@(1,5) (23.0%, 49.2%)
08/01 12:15:52 PM | Train: [ 4/200] Step 030/380 Loss 25.862 Prec@(1,5) (22.6%, 49.0%)
08/01 12:15:59 PM | Train: [ 4/200] Step 040/380 Loss 25.787 Prec@(1,5) (22.7%, 49.1%)
08/01 12:16:05 PM | Train: [ 4/200] Step 050/380 Loss 25.763 Prec@(1,5) (22.4%, 49.5%)
08/01 12:16:11 PM | Train: [ 4/200] Step 060/380 Loss 25.646 Prec@(1,5) (22.7%, 49.9%)
08/01 12:16:18 PM | Train: [ 4/200] Step 070/380 Loss 25.596 Prec@(1,5) (22.9%, 50.2%)
08/01 12:16:25 PM | Train: [ 4/200] Step 080/380 Loss 25.633 Prec@(1,5) (22.6%, 49.7%)
08/01 12:16:33 PM | Train: [ 4/200] Step 090/380 Loss 25.685 Prec@(1,5) (22.4%, 49.5%)
